slice_type,slice_value,from_group,to_group,metric,delta,ci_low,ci_high,sample_size,pairing
difficulty,medium,dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,4,paired
difficulty,medium,static_top1,fixed_threshold_gate,suffix_replan_event_count,0.0,0.0,0.0,4,paired
difficulty,medium,fixed_threshold_gate,dynamic_no_belief_state,suffix_replan_event_count,0.0,0.0,0.0,4,paired
difficulty,medium,dynamic_no_belief_state,lite_belief_state,suffix_replan_event_count,0.0,0.0,0.0,4,paired
difficulty,hard,static_top1,fixed_threshold_gate,success,-1.0,-1.0,-1.0,1,paired
difficulty,hard,fixed_threshold_gate,dynamic_no_belief_state,success,0.0,0.0,0.0,1,paired
difficulty,hard,dynamic_no_belief_state,lite_belief_state,success,0.0,0.0,0.0,1,paired
difficulty,hard,static_top1,fixed_threshold_gate,first_pass_success,0.0,0.0,0.0,1,paired
difficulty,hard,fixed_threshold_gate,dynamic_no_belief_state,first_pass_success,0.0,0.0,0.0,1,paired
difficulty,hard,dynamic_no_belief_state,lite_belief_state,first_pass_success,0.0,0.0,0.0,1,paired
difficulty,hard,static_top1,fixed_threshold_gate,duration_ms,-315000.0,-315000.0,-315000.0,1,paired
difficulty,hard,fixed_threshold_gate,dynamic_no_belief_state,duration_ms,-1000.0,-1000.0,-1000.0,1,paired
difficulty,hard,dynamic_no_belief_state,lite_belief_state,duration_ms,-31000.0,-31000.0,-31000.0,1,paired
difficulty,hard,static_top1,fixed_threshold_gate,high_cost_call_count,0.0,0.0,0.0,1,paired
difficulty,hard,fixed_threshold_gate,dynamic_no_belief_state,high_cost_call_count,0.0,0.0,0.0,1,paired
difficulty,hard,dynamic_no_belief_state,lite_belief_state,high_cost_call_count,0.0,0.0,0.0,1,paired
difficulty,hard,static_top1,fixed_threshold_gate,patch_event_count,-1.0,-1.0,-1.0,1,paired
difficulty,hard,fixed_threshold_gate,dynamic_no_belief_state,patch_event_count,0.0,0.0,0.0,1,paired
difficulty,hard,dynamic_no_belief_state,lite_belief_state,patch_event_count,0.0,0.0,0.0,1,paired
difficulty,hard,static_top1,fixed_threshold_gate,replan_event_count,0.0,0.0,0.0,1,paired
difficulty,hard,fixed_threshold_gate,dynamic_no_belief_state,replan_event_count,0.0,0.0,0.0,1,paired
difficulty,hard,dynamic_no_belief_state,lite_belief_state,replan_event_count,0.0,0.0,0.0,1,paired
difficulty,hard,static_top1,fixed_threshold_gate,suffix_replan_event_count,0.0,0.0,0.0,1,paired
difficulty,hard,fixed_threshold_gate,dynamic_no_belief_state,suffix_replan_event_count,0.0,0.0,0.0,1,paired
difficulty,hard,dynamic_no_belief_state,lite_belief_state,suffix_replan_event_count,0.0,0.0,0.0,1,paired
