run_id,task_id,group_id,replicate,reason,final_status,event_log_path
issue221-real-full-20260418b_dynamic_no_belief_state_secondary_balance_r01,issue221-real-full-20260418b_dynamic_no_belief_state_secondary_balance_r01,dynamic_no_belief_state,1,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_dynamic_no_belief_state_secondary_balance_r01.jsonl
issue221-real-full-20260418b_dynamic_no_belief_state_secondary_balance_r02,issue221-real-full-20260418b_dynamic_no_belief_state_secondary_balance_r02,dynamic_no_belief_state,2,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_dynamic_no_belief_state_secondary_balance_r02.jsonl
issue221-real-full-20260418b_lite_belief_state_enzyme_like_fold_r01,issue221-real-full-20260418b_lite_belief_state_enzyme_like_fold_r01,lite_belief_state,1,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_lite_belief_state_enzyme_like_fold_r01.jsonl
issue221-real-full-20260418b_lite_belief_state_enzyme_like_fold_r02,issue221-real-full-20260418b_lite_belief_state_enzyme_like_fold_r02,lite_belief_state,2,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_lite_belief_state_enzyme_like_fold_r02.jsonl
issue221-real-full-20260418b_lite_belief_state_binding_scaffold_r01,issue221-real-full-20260418b_lite_belief_state_binding_scaffold_r01,lite_belief_state,1,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_lite_belief_state_binding_scaffold_r01.jsonl
issue221-real-full-20260418b_lite_belief_state_high_solubility_r01,issue221-real-full-20260418b_lite_belief_state_high_solubility_r01,lite_belief_state,1,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_lite_belief_state_high_solubility_r01.jsonl
issue221-real-full-20260418b_lite_belief_state_high_solubility_r02,issue221-real-full-20260418b_lite_belief_state_high_solubility_r02,lite_belief_state,2,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_lite_belief_state_high_solubility_r02.jsonl
issue221-real-full-20260418b_lite_belief_state_secondary_balance_r01,issue221-real-full-20260418b_lite_belief_state_secondary_balance_r01,lite_belief_state,1,terminal_or_waiting_status:FAILED,FAILED,data/logs/issue221-real-full-20260418b_lite_belief_state_secondary_balance_r01.jsonl
