group_id,high_cost_calls_total,high_cost_failures_total,high_cost_rule_hits
fixed_threshold_gate,0.0,0.0,{}
dynamic_no_belief_state,1.0,0.0,{'structure_refinement': 1}
lite_belief_state,1.0,0.0,{'heavy_objective_evaluation': 1}
