run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
thesis-final-smoke-fourgroup-t1-001_static_top1_t1_trpcage_denovo_short_peptide_r01,static_top1,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_single_candidate,FAILED,False,True,True,True,True,True,False,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t1-001/run_configs/thesis-final-smoke-fourgroup-t1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.json,data/logs/thesis-final-smoke-fourgroup-t1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,data/snapshots/thesis-final-smoke-fourgroup-t1-001_static_top1_t1_trpcage_denovo_short_peptide_r01.jsonl,,228a2b62fc90
thesis-final-smoke-fourgroup-t1-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01,fixed_threshold_gate,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,static_threshold_gate,FAILED,False,True,True,True,True,False,False,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t1-001/run_configs/thesis-final-smoke-fourgroup-t1-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01.json,data/logs/thesis-final-smoke-fourgroup-t1-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01.jsonl,data/snapshots/thesis-final-smoke-fourgroup-t1-001_fixed_threshold_gate_t1_trpcage_denovo_short_peptide_r01.jsonl,,a91025b92f38
thesis-final-smoke-fourgroup-t1-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01,dynamic_no_belief_state,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,dynamic_observation_only,WAITING_PATCH,False,True,True,True,True,True,False,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t1-001/run_configs/thesis-final-smoke-fourgroup-t1-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01.json,data/logs/thesis-final-smoke-fourgroup-t1-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01.jsonl,data/snapshots/thesis-final-smoke-fourgroup-t1-001_dynamic_no_belief_state_t1_trpcage_denovo_short_peptide_r01.jsonl,,68a73d47a03b
thesis-final-smoke-fourgroup-t1-001_lite_belief_state_t1_trpcage_denovo_short_peptide_r01,lite_belief_state,1,t1_trpcage_denovo_short_peptide,easy,low_cost_first,lite_belief_state,FAILED,False,True,True,True,True,False,False,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t1-001/run_configs/thesis-final-smoke-fourgroup-t1-001_lite_belief_state_t1_trpcage_denovo_short_peptide_r01.json,data/logs/thesis-final-smoke-fourgroup-t1-001_lite_belief_state_t1_trpcage_denovo_short_peptide_r01.jsonl,data/snapshots/thesis-final-smoke-fourgroup-t1-001_lite_belief_state_t1_trpcage_denovo_short_peptide_r01.jsonl,,c4b4df3bed9c
