group_id,high_cost_calls_total,high_cost_failures_total,high_cost_rule_hits
static_top1,1.0,0.0,{'structure_mapping': 1}
fixed_threshold_gate,1.0,0.0,{'structure_mapping': 1}
dynamic_no_belief_state,1.0,0.0,{'structure_mapping': 1}
lite_belief_state,1.0,0.0,{'structure_mapping': 1}
