run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01,issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01,dynamic_no_belief_state,1,high_solubility,easy,low_cost_first,dynamic_observation_only,DONE,DONE,2026-04-19T16:25:18+00:00,2026-04-19T16:28:26+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02,issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02,dynamic_no_belief_state,2,high_solubility,easy,low_cost_first,dynamic_observation_only,DONE,DONE,2026-04-19T16:28:26+00:00,2026-04-19T16:31:29+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01,issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01,dynamic_no_belief_state,1,secondary_balance,medium,standard,dynamic_observation_only,FAILED,FAILED,2026-04-19T16:31:29+00:00,2026-04-19T16:37:41+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01.jsonl,,issue209-baseline-freeze-20260326,,"PlanRunError: Step S6 failed (failure_type=non_retryable, error=InterProScan binary 'interproscan.sh' is not installed)"
issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02,issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02,dynamic_no_belief_state,2,secondary_balance,medium,standard,dynamic_observation_only,DONE,DONE,2026-04-19T16:37:41+00:00,2026-04-19T16:42:18+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01,issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01,lite_belief_state,1,enzyme_like_fold,medium,standard,lite_belief_state,DONE,DONE,2026-04-19T16:42:18+00:00,2026-04-19T16:44:18+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01_denovo.md,issue209-baseline-freeze-20260326,plan_confirm,
issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02,issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02,lite_belief_state,2,enzyme_like_fold,medium,standard,lite_belief_state,DONE,DONE,2026-04-19T16:44:18+00:00,2026-04-19T16:46:13+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02.json,data/logs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02_denovo.md,issue209-baseline-freeze-20260326,plan_confirm,
issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01,issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01,lite_belief_state,1,binding_scaffold,hard,high_cost_sensitive,lite_belief_state,DONE,DONE,2026-04-19T16:46:13+00:00,2026-04-19T16:48:07+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01_denovo.md,issue209-baseline-freeze-20260326,plan_confirm,
issue270-rerun-20260419b_lite_belief_state_high_solubility_r01,issue270-rerun-20260419b_lite_belief_state_high_solubility_r01,lite_belief_state,1,high_solubility,easy,low_cost_first,lite_belief_state,DONE,DONE,2026-04-19T16:48:07+00:00,2026-04-19T16:51:51+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,patch_confirm,
issue270-rerun-20260419b_lite_belief_state_high_solubility_r02,issue270-rerun-20260419b_lite_belief_state_high_solubility_r02,lite_belief_state,2,high_solubility,easy,low_cost_first,lite_belief_state,FAILED,FAILED,2026-04-19T16:51:51+00:00,2026-04-19T16:52:35+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r02.json,data/logs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r02.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_high_solubility_r02.jsonl,,issue209-baseline-freeze-20260326,,"PlanRunError: Step S2 failed (failure_type=non_retryable, error=Missing required input 'sequence' for OpenFold3 step 'S2')"
issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01,issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01,lite_belief_state,1,secondary_balance,medium,standard,lite_belief_state,DONE,DONE,2026-04-19T16:52:35+00:00,2026-04-19T16:55:26+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02,issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02,lite_belief_state,2,secondary_balance,medium,standard,lite_belief_state,DONE,DONE,2026-04-19T16:55:26+00:00,2026-04-19T16:57:29+00:00,output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02.json,data/logs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02_denovo.md,issue209-baseline-freeze-20260326,plan_confirm,
