run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01,dynamic_no_belief_state,1,high_solubility,easy,low_cost_first,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r01_denovo.md,162b1696fbb3
issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02,dynamic_no_belief_state,2,high_solubility,easy,low_cost_first,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_high_solubility_r02_denovo.md,6003039c92ed
issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01,dynamic_no_belief_state,1,secondary_balance,medium,standard,dynamic_observation_only,WAITING_REPLAN,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r01.jsonl,,6c02f0178b75
issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02,dynamic_no_belief_state,2,secondary_balance,medium,standard,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02.json,data/logs/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02.jsonl,data/snapshots/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02.jsonl,output/reports/issue270-rerun-20260419b_dynamic_no_belief_state_secondary_balance_r02_denovo.md,95925c454307
issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01,lite_belief_state,1,enzyme_like_fold,medium,standard,lite_belief_state,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r01_denovo.md,02d364de95d3
issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02,lite_belief_state,2,enzyme_like_fold,medium,standard,lite_belief_state,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02.json,data/logs/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_enzyme_like_fold_r02_denovo.md,5ba74ecd16fb
issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01,lite_belief_state,1,binding_scaffold,hard,high_cost_sensitive,lite_belief_state,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_binding_scaffold_r01_denovo.md,a72d1142f5c3
issue270-rerun-20260419b_lite_belief_state_high_solubility_r01,lite_belief_state,1,high_solubility,easy,low_cost_first,lite_belief_state,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_high_solubility_r01_denovo.md,e1de8370f05c
issue270-rerun-20260419b_lite_belief_state_high_solubility_r02,lite_belief_state,2,high_solubility,easy,low_cost_first,lite_belief_state,WAITING_REPLAN,False,True,True,True,True,True,False,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r02.json,data/logs/issue270-rerun-20260419b_lite_belief_state_high_solubility_r02.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_high_solubility_r02.jsonl,,177659381b7f
issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01,lite_belief_state,1,secondary_balance,medium,standard,lite_belief_state,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01.json,data/logs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r01_denovo.md,54ef8ec7c497
issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02,lite_belief_state,2,secondary_balance,medium,standard,lite_belief_state,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue270-rerun-20260419b/run_configs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02.json,data/logs/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02.jsonl,data/snapshots/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02.jsonl,output/reports/issue270-rerun-20260419b_lite_belief_state_secondary_balance_r02_denovo.md,27fc637b656a
