run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
issue221-real-20260418_static_top1_high_solubility_r01,issue221-real-20260418_static_top1_high_solubility_r01,static_top1,1,high_solubility,easy,low_cost_first,static_single_candidate,DONE,DONE,2026-04-18T03:21:09+00:00,2026-04-18T03:25:15+00:00,output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_static_top1_high_solubility_r01.json,data/logs/issue221-real-20260418_static_top1_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_static_top1_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_static_top1_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-20260418_fixed_threshold_gate_high_solubility_r01,issue221-real-20260418_fixed_threshold_gate_high_solubility_r01,fixed_threshold_gate,1,high_solubility,easy,low_cost_first,static_threshold_gate,DONE,DONE,2026-04-18T03:25:15+00:00,2026-04-18T03:28:38+00:00,output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01.json,data/logs/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01,issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01,dynamic_no_belief_state,1,high_solubility,easy,low_cost_first,dynamic_observation_only,DONE,DONE,2026-04-18T03:28:38+00:00,2026-04-18T03:31:21+00:00,output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01.json,data/logs/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,,
issue221-real-20260418_lite_belief_state_high_solubility_r01,issue221-real-20260418_lite_belief_state_high_solubility_r01,lite_belief_state,1,high_solubility,easy,low_cost_first,lite_belief_state,DONE,DONE,2026-04-18T03:31:21+00:00,2026-04-18T03:34:36+00:00,output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_lite_belief_state_high_solubility_r01.json,data/logs/issue221-real-20260418_lite_belief_state_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_lite_belief_state_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_lite_belief_state_high_solubility_r01_denovo.md,issue209-baseline-freeze-20260326,,
