run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue221-real-20260418_static_top1_high_solubility_r01,static_top1,1,high_solubility,easy,low_cost_first,static_single_candidate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_static_top1_high_solubility_r01.json,data/logs/issue221-real-20260418_static_top1_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_static_top1_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_static_top1_high_solubility_r01_denovo.md,945c57a8d773
issue221-real-20260418_fixed_threshold_gate_high_solubility_r01,fixed_threshold_gate,1,high_solubility,easy,low_cost_first,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01.json,data/logs/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_fixed_threshold_gate_high_solubility_r01_denovo.md,2c58788fba69
issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01,dynamic_no_belief_state,1,high_solubility,easy,low_cost_first,dynamic_observation_only,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01.json,data/logs/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_dynamic_no_belief_state_high_solubility_r01_denovo.md,1e20148e8657
issue221-real-20260418_lite_belief_state_high_solubility_r01,lite_belief_state,1,high_solubility,easy,low_cost_first,lite_belief_state,DONE,True,True,True,True,True,True,True,[],output/experiment/w16-expr-1/issue221-real-20260418/run_configs/issue221-real-20260418_lite_belief_state_high_solubility_r01.json,data/logs/issue221-real-20260418_lite_belief_state_high_solubility_r01.jsonl,data/snapshots/issue221-real-20260418_lite_belief_state_high_solubility_r01.jsonl,output/reports/issue221-real-20260418_lite_belief_state_high_solubility_r01_denovo.md,d36d7982d17a
