run_id,task_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,status_external,status_internal,started_at,finished_at,run_config_path,event_log_path,snapshot_path,report_path,freeze_id,pending_action_type,execution_error
thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01,thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01,static_top1,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,FAILED,FAILED,2026-05-09T14:02:42+00:00,2026-05-09T14:14:46+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,,issue209-baseline-freeze-20260326,,PlanRunError: Replan failed: No alternative tool found for capability 'stability_simulation' with inputs ['pdb_path']
thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01,thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01,fixed_threshold_gate,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_threshold_gate,DONE,DONE,2026-05-09T14:14:46+00:00,2026-05-09T14:17:25+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,issue209-baseline-freeze-20260326,,
thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01,thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01,dynamic_no_belief_state,1,t2_trpcage_sequence_eval,easy,low_cost_first,dynamic_observation_only,FAILED,FAILED,2026-05-09T14:17:25+00:00,2026-05-09T14:21:27+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,,issue209-baseline-freeze-20260326,,Exception: LLM API 调用失败: Request timed out.
thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01,thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01,lite_belief_state,1,t2_trpcage_sequence_eval,easy,low_cost_first,lite_belief_state,FAILED,FAILED,2026-05-09T14:21:27+00:00,2026-05-09T14:23:42+00:00,output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01.jsonl,,issue209-baseline-freeze-20260326,,ProviderPayloadValidationError: plan:empty_response: LLM provider returned no usable content
