run_id,group_id,replicate,task_key,difficulty,budget_tier,runtime_policy,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01,static_top1,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_single_candidate,FAILED,False,True,True,True,True,True,False,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_static_top1_t2_trpcage_sequence_eval_r01.jsonl,,e4334f570131
thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01,fixed_threshold_gate,1,t2_trpcage_sequence_eval,easy,low_cost_first,static_threshold_gate,DONE,True,True,True,True,True,True,True,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.jsonl,output/reports/thesis-final-smoke-fourgroup-t6-clean-001_fixed_threshold_gate_t2_trpcage_sequence_eval_r01.json,40e174d84299
thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01,dynamic_no_belief_state,1,t2_trpcage_sequence_eval,easy,low_cost_first,dynamic_observation_only,FAILED,False,True,True,True,True,False,False,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_dynamic_no_belief_state_t2_trpcage_sequence_eval_r01.jsonl,,5a805ba6e5d3
thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01,lite_belief_state,1,t2_trpcage_sequence_eval,easy,low_cost_first,lite_belief_state,FAILED,False,True,True,True,True,False,False,[],output/experiment/thesis-final-matrix-smoke/thesis-final-smoke-fourgroup-t6-clean-001/run_configs/thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01.json,/home/yurikon/Documents/thesis/thesis-project.dev/data/logs/thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01.jsonl,/home/yurikon/Documents/thesis/thesis-project.dev/data/snapshots/thesis-final-smoke-fourgroup-t6-clean-001_lite_belief_state_t2_trpcage_sequence_eval_r01.jsonl,,fc19b1431607
