run_id,group_id,replicate,task_key,difficulty,budget_tier,agent_style,final_status,success,artifact_complete,lineage_linked,run_config_linked,event_log_linked,snapshot_linked,report_linked,missing_required_artifacts,run_config_path,event_log_path,snapshot_path,report_path,summary_row_id
issue172-live-minimax-tunnel-r1_E1_high_solubility_r02,E1,2,high_solubility,easy,low_cost_first,multi_branch_selection,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_high_solubility_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E1_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_high_solubility_r02.jsonl,,93b4e2752907
issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01,E1,1,secondary_balance,medium,standard,multi_branch_selection,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r01.jsonl,,d6b3dffba7b2
issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02,E1,2,secondary_balance,medium,standard,multi_branch_selection,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E1_secondary_balance_r02.jsonl,,c054f855046b
issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01,E2,1,enzyme_like_fold,medium,standard,reflection_recovery,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r01.jsonl,,2a526f57c810
issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02,E2,2,enzyme_like_fold,medium,standard,reflection_recovery,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_enzyme_like_fold_r02.jsonl,,18ce6e6870e8
issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01,E2,1,binding_scaffold,hard,high_cost_sensitive,reflection_recovery,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_binding_scaffold_r01.jsonl,,06135832002e
issue172-live-minimax-tunnel-r1_E2_high_solubility_r01,E2,1,high_solubility,easy,low_cost_first,reflection_recovery,FAILED,False,True,True,True,True,False,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_high_solubility_r01.jsonl,,a19a5322eb8f
issue172-live-minimax-tunnel-r1_E2_high_solubility_r02,E2,2,high_solubility,easy,low_cost_first,reflection_recovery,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E2_high_solubility_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_high_solubility_r02.jsonl,,f69a7cf6dddb
issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01,E2,1,secondary_balance,medium,standard,reflection_recovery,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01.json,data/logs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r01.jsonl,,b3712ea1b19e
issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02,E2,2,secondary_balance,medium,standard,reflection_recovery,CANCELLED,False,True,True,True,True,True,False,[],output/experiment/w12-expr-3/issue172-horizontal/issue172-live-minimax-tunnel-r1/run_configs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02.json,data/logs/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02.jsonl,data/snapshots/issue172-live-minimax-tunnel-r1_E2_secondary_balance_r02.jsonl,,d5ce69d5f0c3
