group_id,label,scope,success_rate,first_pass_success_rate,duration_ms_mean,high_cost_call_mean,waiting_chain_complete_rate,failure_traceable_rate,patch_events_mean,replan_events_mean
A6,Lite Belief-State,internal_reference,0.0,0.0,0.0,,0.0,1.0,0.0,0.0
E0,E0,external,0.14285714285714285,0.14285714285714285,120285.71428571429,0.0,1.0,1.0,0.0,0.0
E1,E1,external,0.0,0.0,128000.0,0.0,1.0,1.0,0.0,0.0
E2,E2,external,0.0,0.0,190142.85714285713,0.0,1.0,1.0,1.0,0.0
